"","District","Total_responses","no_toilet","flush","dry_latrine","Others","percent_no_toilet","percent_flush","percent_dry_latrine","percent_Others"
"1","Abbottabad",889,37,850,1,1,4.16197975253093,95.6130483689539,0.112485939257593,0.112485939257593
"2","Bajur",885,460,400,25,0,51.9774011299435,45.1977401129944,2.82485875706215,0
"3","Bannu",730,170,550,7,3,23.2876712328767,75.3424657534247,0.958904109589041,0.410958904109589
"4","Batagram",598,132,464,1,1,22.0735785953177,77.5919732441472,0.167224080267559,0.167224080267559
"5","Bunair",650,159,420,71,0,24.4615384615385,64.6153846153846,10.9230769230769,0
"6","Charsada",1100,41,963,93,3,3.72727272727273,87.5454545454545,8.45454545454546,0.272727272727273
"7","Chitral",596,17,573,6,0,2.85234899328859,96.1409395973154,1.00671140939597,0
"8","D. I. Khan",959,35,753,170,1,3.64963503649635,78.5192909280501,17.7267987486966,0.104275286757039
"9","Hangu",569,5,530,34,0,0.878734622144113,93.1458699472759,5.97539543057996,0
"10","Haripur",982,59,919,3,1,6.0081466395112,93.5845213849287,0.305498981670061,0.10183299389002
"11","Karak",595,52,542,1,0,8.73949579831933,91.0924369747899,0.168067226890756,0
"12","Khyber",770,93,506,169,2,12.0779220779221,65.7142857142857,21.9480519480519,0.25974025974026
"13","Kohat",590,72,507,10,1,12.2033898305085,85.9322033898305,1.69491525423729,0.169491525423729
"14","Kohistan",1219,638,578,3,0,52.33798195242,47.4159146841673,0.246103363412633,0
"15","Kurram",537,72,364,99,2,13.4078212290503,67.7839851024209,18.4357541899441,0.37243947858473
"16","Lakki Marwat",547,76,463,8,0,13.8939670932358,84.6435100548446,1.46252285191956,0
"17","Lower Dir",1377,189,1181,6,1,13.7254901960784,85.7661583151779,0.435729847494553,0.0726216412490922
"18","Malakand",454,18,421,14,1,3.9647577092511,92.7312775330396,3.08370044052863,0.220264317180617
"19","Mansehra",1103,100,1001,2,0,9.06618313689937,90.7524932003627,0.181323662737987,0
"20","Mardan",1203,33,1065,103,2,2.7431421446384,88.5286783042394,8.5619285120532,0.166251039068994
"21","Mohmand",504,130,177,197,0,25.7936507936508,35.1190476190476,39.0873015873016,0
"22","North Waziristan",611,277,333,1,0,45.3355155482815,54.5008183306056,0.16366612111293,0
"23","Nowshera",942,15,856,70,1,1.59235668789809,90.8704883227176,7.43099787685775,0.106157112526539
"24","Orakzai",430,57,348,25,0,13.2558139534884,80.9302325581395,5.81395348837209,0
"25","Peshawar",1483,53,1328,96,6,3.57383681726231,89.5482130815914,6.47336480107889,0.404585300067431
"26","Shangla",478,128,345,5,0,26.7782426778243,72.1757322175732,1.04602510460251,0
"27","South Waziristan",539,156,264,118,1,28.9424860853432,48.9795918367347,21.8923933209648,0.185528756957328
"28","Swabi",1149,37,1072,35,5,3.22019147084421,93.2985204525674,3.0461270670148,0.435161009573542
"29","Swat",763,130,631,2,0,17.0380078636959,82.699868938401,0.262123197903014,0
"30","Tank",420,22,325,72,1,5.23809523809524,77.3809523809524,17.1428571428571,0.238095238095238
"31","Tor Garh",437,140,294,3,0,32.0366132723112,67.2768878718535,0.68649885583524,0
"32","Upper Dir",1052,126,922,4,0,11.9771863117871,87.6425855513308,0.380228136882129,0
"33","Attock",1338,46,1289,3,0,3.43796711509716,96.3378176382661,0.224215246636771,0
"34","Bahawalnagar",2009,560,1443,4,2,27.8745644599303,71.8267794922847,0.199104031856645,0.0995520159283226
"35","Bahawalpur",2460,531,1899,27,3,21.5853658536585,77.1951219512195,1.09756097560976,0.121951219512195
"36","Bhakhar",1392,302,778,307,5,21.6954022988506,55.8908045977011,22.0545977011494,0.359195402298851
"37","Chakwal",1267,30,1235,1,1,2.36779794790844,97.4743488555643,0.0789265982636148,0.0789265982636148
"38","Chiniot",996,435,559,1,1,43.6746987951807,56.1244979919679,0.100401606425703,0.100401606425703
"39","D. G. Khan",1280,372,880,25,3,29.0625,68.75,1.953125,0.234375
"40","Faisalabad",2748,339,2400,2,7,12.3362445414847,87.3362445414847,0.0727802037845706,0.254730713245997
"41","Gujranwala",1519,22,1496,0,1,1.44832126398947,98.4858459512837,0,0.0658327847267939
"42","Gujrat",1611,15,1591,5,0,0.931098696461825,98.7585350713842,0.310366232153942,0
"43","Hafizabad",943,114,829,0,0,12.0890774125133,87.9109225874867,0,0
"44","Islamabad",710,7,702,0,1,0.985915492957746,98.8732394366197,0,0.140845070422535
"45","Jehlum",1051,49,1002,0,0,4.66222645099905,95.3377735490009,0,0
"46","Jhang",1738,590,1135,5,8,33.9470655926352,65.3049482163406,0.287686996547756,0.46029919447641
"47","Kasur",2091,82,1994,4,11,3.92156862745098,95.3610712577714,0.191296030607365,0.526064084170253
"48","Khanewal",1771,245,1477,32,17,13.8339920948617,83.399209486166,1.8068887634105,0.959909655561829
"49","Khushab",1036,222,812,0,2,21.4285714285714,78.3783783783784,0,0.193050193050193
"50","Layyah",570,106,464,0,0,18.5964912280702,81.4035087719298,0,0
"51","Lodhran",1128,108,1017,1,2,9.57446808510638,90.1595744680851,0.0886524822695035,0.177304964539007
"52","Mandi Bahauddin",962,87,872,2,1,9.04365904365904,90.6444906444906,0.207900207900208,0.103950103950104
"53","Mianwali",1154,197,952,4,1,17.0710571923744,82.4956672443674,0.346620450606586,0.0866551126516464
"54","Multan",2058,283,1761,7,7,13.7512147716229,85.5685131195335,0.340136054421769,0.340136054421769
"55","Muzaffar Garh",2698,755,1929,5,9,27.9836916234248,71.4974054855448,0.185322461082283,0.33358042994811
"56","Nankana Sahib",1002,12,986,1,3,1.19760479041916,98.4031936127745,0.0998003992015968,0.29940119760479
"57","Narowal",1390,52,1324,0,14,3.7410071942446,95.2517985611511,0,1.00719424460432
"58","Okara",1320,71,1249,0,0,5.37878787878788,94.6212121212121,0,0
"59","Pakpattan",1437,167,1217,53,0,11.6214335421016,84.6903270702853,3.68823938761308,0
"60","Rahim Yar Khan",1944,492,1419,0,33,25.3086419753086,72.9938271604938,0,1.69753086419753
"61","Rajanpur",1110,411,699,0,0,37.027027027027,62.972972972973,0,0
"62","Rawalpindi",2391,83,2304,2,2,3.47135089920535,96.3613550815558,0.0836470096194061,0.0836470096194061
"63","Sahiwal",1679,118,1561,0,0,7.02799285288862,92.9720071471114,0,0
"64","Sargodha",2094,356,1737,0,1,17.0009551098376,82.9512893982808,0,0.0477554918815664
"65","Sheikhupura",1908,17,1891,0,0,0.890985324947589,99.1090146750524,0,0
"66","Sialkot",1331,14,1312,0,5,1.05184072126221,98.572501878287,0,0.375657400450789
"67","T.T. Singh",1364,147,1207,4,6,10.7771260997067,88.4897360703812,0.293255131964809,0.439882697947214
"68","Vehari",1284,100,737,216,231,7.78816199376947,57.398753894081,16.8224299065421,17.9906542056075
"69","Badin",979,235,203,438,103,24.0040858018386,20.7354443309499,44.7395301327886,10.5209397344229
"70","Dadu",588,0,388,198,2,0,65.9863945578231,33.6734693877551,0.340136054421769
"71","Ghotki",1185,142,660,379,4,11.9831223628692,55.6962025316456,31.9831223628692,0.337552742616034
"72","Hyderabad",305,6,161,102,36,1.9672131147541,52.7868852459016,33.4426229508197,11.8032786885246
"73","Jacobabad",750,78,590,8,74,10.4,78.6666666666667,1.06666666666667,9.86666666666667
"74","Jamshoro",455,86,241,111,17,18.9010989010989,52.967032967033,24.3956043956044,3.73626373626374
"75","Karachi Malir",679,14,637,28,0,2.06185567010309,93.8144329896907,4.12371134020619,0
"76","Karachi West",103,4,86,13,0,3.88349514563107,83.495145631068,12.621359223301,0
"77","Kashmore",510,36,328,141,5,7.05882352941176,64.3137254901961,27.6470588235294,0.980392156862745
"78","Khairpur",1274,81,512,664,17,6.35792778649922,40.1883830455259,52.1193092621664,1.33437990580848
"79","Larkana",840,24,506,309,1,2.85714285714286,60.2380952380952,36.7857142857143,0.119047619047619
"80","Matiari",526,98,263,159,6,18.6311787072243,50,30.2281368821293,1.14068441064639
"81","Mir Pur Khas",929,220,288,421,0,23.6813778256189,31.0010764262648,45.3175457481163,0
"82","Nowshero Feroze",925,2,822,101,0,0.216216216216216,88.8648648648649,10.9189189189189,0
"83","Sanghar",930,248,345,336,1,26.6666666666667,37.0967741935484,36.1290322580645,0.10752688172043
"84","Shahdadkot",780,0,601,166,13,0,77.0512820512821,21.2820512820513,1.66666666666667
"85","Shaheed Banazir Abad",990,178,479,330,3,17.979797979798,48.3838383838384,33.3333333333333,0.303030303030303
"86","Shikarpur",684,204,294,181,5,29.8245614035088,42.9824561403509,26.4619883040936,0.730994152046784
"87","Sujawal",720,299,202,210,9,41.5277777777778,28.0555555555556,29.1666666666667,1.25
"88","Sukkur",529,60,314,145,10,11.3421550094518,59.3572778827977,27.4102079395085,1.89035916824197
"89","Tando Allah Yar",513,53,230,215,15,10.3313840155945,44.8343079922027,41.9103313840156,2.92397660818713
"90","Tando Muhammad Khan",688,128,245,263,52,18.6046511627907,35.6104651162791,38.2267441860465,7.55813953488372
"91","Tharparkar",1020,476,193,351,0,46.6666666666667,18.921568627451,34.4117647058824,0
"92","Thatta",800,313,317,166,4,39.125,39.625,20.75,0.5
"93","Umer Kot",600,464,134,2,0,77.3333333333333,22.3333333333333,0.333333333333333,0
"94","Awaran",345,32,10,303,0,9.27536231884058,2.89855072463768,87.8260869565217,0
"95","Barkhan",500,264,50,185,1,52.8,10,37,0.2
"96","Dera Bugti",480,259,22,198,1,53.9583333333333,4.58333333333333,41.25,0.208333333333333
"97","Duki",270,30,240,0,0,11.1111111111111,88.8888888888889,0,0
"98","Gwadar",228,37,25,165,1,16.2280701754386,10.9649122807018,72.3684210526316,0.43859649122807
"99","Harnai",370,48,5,84,233,12.972972972973,1.35135135135135,22.7027027027027,62.972972972973
"100","Jaffarabad",508,48,303,127,30,9.44881889763779,59.6456692913386,25,5.90551181102362
"101","Kachhi/ Bolan",479,64,18,397,0,13.3611691022964,3.75782881002088,82.8810020876827,0
"102","Kalat",660,140,9,509,2,21.2121212121212,1.36363636363636,77.1212121212121,0.303030303030303
"103","Kech/Turbat",611,79,60,444,28,12.9296235679214,9.81996726677578,72.6677577741408,4.58265139116203
"104","Kharan",492,262,13,215,2,53.2520325203252,2.64227642276423,43.6991869918699,0.40650406504065
"105","Khuzdar",793,459,9,324,1,57.8814627994956,1.13493064312736,40.8575031525851,0.126103404791929
"106","Kohlu",143,3,135,4,1,2.0979020979021,94.4055944055944,2.7972027972028,0.699300699300699
"107","Lasbela",150,8,112,30,0,5.33333333333333,74.6666666666667,20,0
"108","Loralai",426,105,265,56,0,24.6478873239437,62.206572769953,13.1455399061033,0
"109","Mastung",464,0,66,397,1,0,14.2241379310345,85.5603448275862,0.21551724137931
"110","Nasirabad/ Tamboo",508,137,315,9,47,26.9685039370079,62.007874015748,1.77165354330709,9.25196850393701
"111","Nushki",349,8,1,307,33,2.29226361031519,0.286532951289398,87.9656160458453,9.45558739255014
"112","Pishin",906,30,609,267,0,3.3112582781457,67.2185430463576,29.4701986754967,0
"113","Qilla Abdullah",435,105,129,201,0,24.1379310344828,29.6551724137931,46.2068965517241,0
"114","Qilla Saifullah",509,291,66,152,0,57.1709233791749,12.9666011787819,29.8624754420432,0
"115","Quetta",752,1,516,231,4,0.132978723404255,68.6170212765958,30.718085106383,0.531914893617021
"116","Shaheed Sikandar Abad",304,127,3,165,9,41.7763157894737,0.986842105263158,54.2763157894737,2.96052631578947
"117","Sherani",210,71,79,60,0,33.8095238095238,37.6190476190476,28.5714285714286,0
"118","Sibbi",499,138,25,335,1,27.6553106212425,5.01002004008016,67.1342685370741,0.200400801603206
"119","Sohbatpur",180,124,54,2,0,68.8888888888889,30,1.11111111111111,0
"120","Washuk",497,77,43,376,1,15.4929577464789,8.65191146881288,75.6539235412475,0.201207243460765
"121","Ziarat",357,171,13,128,45,47.8991596638655,3.64145658263305,35.8543417366947,12.6050420168067
