"","District","total_response","worried","not_worried","percent_worried","percent_not_worried"
"1","Abbottabad",889,297,592,33.4083239595051,66.5916760404949
"2","Bajur",885,141,744,15.9322033898305,84.0677966101695
"3","Bannu",725,125,600,17.2413793103448,82.7586206896552
"4","Batagram",590,141,449,23.8983050847458,76.1016949152542
"5","Bunair",645,108,537,16.7441860465116,83.2558139534884
"6","Charsada",1099,391,708,35.5777979981802,64.4222020018198
"7","Chitral",596,93,503,15.6040268456376,84.3959731543624
"8","D. I. Khan",955,97,858,10.1570680628272,89.8429319371728
"9","Hangu",569,61,508,10.7205623901582,89.2794376098418
"10","Haripur",981,306,675,31.1926605504587,68.8073394495413
"11","Karak",591,41,550,6.93739424703892,93.0626057529611
"12","Khyber",770,56,714,7.27272727272727,92.7272727272727
"13","Kohat",589,114,475,19.3548387096774,80.6451612903226
"14","Kohistan",1206,182,1024,15.0912106135987,84.9087893864013
"15","Kurram",536,26,510,4.85074626865672,95.1492537313433
"16","Lakki Marwat",545,55,490,10.0917431192661,89.9082568807339
"17","Lower Dir",1374,266,1108,19.3595342066958,80.6404657933042
"18","Malakand",453,49,404,10.8167770419426,89.1832229580574
"19","Mansehra",1103,207,896,18.7669990933817,81.2330009066183
"20","Mardan",1203,360,843,29.925187032419,70.074812967581
"21","Mohmand",497,39,458,7.84708249496982,92.1529175050302
"22","North Waziristan",611,10,601,1.6366612111293,98.3633387888707
"23","Nowshera",941,139,802,14.7715196599362,85.2284803400638
"24","Orakzai",428,24,404,5.60747663551402,94.392523364486
"25","Peshawar",1479,253,1226,17.10615280595,82.89384719405
"26","Shangla",478,24,454,5.02092050209205,94.9790794979079
"27","South Waziristan",537,113,424,21.0428305400372,78.9571694599628
"28","Swabi",1149,168,981,14.621409921671,85.378590078329
"29","Swat",763,153,610,20.0524246395806,79.9475753604194
"30","Tank",420,131,289,31.1904761904762,68.8095238095238
"31","Tor Garh",416,49,367,11.7788461538462,88.2211538461538
"32","Upper Dir",1052,210,842,19.9619771863118,80.0380228136882
"33","Attock",1337,182,1155,13.6125654450262,86.3874345549738
"34","Bahawalnagar",1993,660,1333,33.1159056698445,66.8840943301555
"35","Bahawalpur",2460,914,1546,37.1544715447154,62.8455284552846
"36","Bhakhar",1391,321,1070,23.0769230769231,76.9230769230769
"37","Chakwal",1260,225,1035,17.8571428571429,82.1428571428571
"38","Chiniot",996,210,786,21.0843373493976,78.9156626506024
"39","D. G. Khan",1280,219,1061,17.109375,82.890625
"40","Faisalabad",2741,260,2481,9.48558920102153,90.5144107989785
"41","Gujranwala",1513,269,1244,17.7792465300727,82.2207534699273
"42","Gujrat",1606,91,1515,5.66625155666252,94.3337484433375
"43","Hafizabad",942,150,792,15.9235668789809,84.0764331210191
"44","Islamabad",699,100,599,14.3061516452074,85.6938483547926
"45","Jehlum",1049,216,833,20.5910390848427,79.4089609151573
"46","Jhang",1733,487,1246,28.1015579919215,71.8984420080785
"47","Kasur",2079,826,1253,39.7306397306397,60.2693602693603
"48","Khanewal",1767,297,1470,16.8081494057725,83.1918505942275
"49","Khushab",1036,260,776,25.0965250965251,74.9034749034749
"50","Layyah",570,154,416,27.0175438596491,72.9824561403509
"51","Lodhran",1126,270,856,23.9786856127886,76.0213143872114
"52","Mandi Bahauddin",959,129,830,13.451511991658,86.548488008342
"53","Mianwali",1154,258,896,22.3570190641248,77.6429809358752
"54","Multan",2056,376,1680,18.2879377431907,81.7120622568093
"55","Muzaffar Garh",2698,1025,1673,37.9911045218681,62.008895478132
"56","Nankana Sahib",978,129,849,13.1901840490798,86.8098159509202
"57","Narowal",1388,277,1111,19.9567723342939,80.0432276657061
"58","Okara",1320,116,1204,8.78787878787879,91.2121212121212
"59","Pakpattan",1436,135,1301,9.40111420612813,90.5988857938719
"60","Rahim Yar Khan",1943,839,1104,43.1806484817293,56.8193515182707
"61","Rajanpur",1110,201,909,18.1081081081081,81.8918918918919
"62","Rawalpindi",2382,270,2112,11.3350125944584,88.6649874055416
"63","Sahiwal",1677,138,1539,8.22898032200358,91.7710196779964
"64","Sargodha",2094,610,1484,29.1308500477555,70.8691499522445
"65","Sheikhupura",1891,443,1448,23.4267583289265,76.5732416710735
"66","Sialkot",1331,186,1145,13.9744552967693,86.0255447032307
"67","T.T. Singh",1364,293,1071,21.4809384164223,78.5190615835777
"68","Vehari",1283,171,1112,13.3281371784879,86.6718628215121
"69","Badin",977,318,659,32.5486182190379,67.4513817809621
"70","Dadu",588,211,377,35.8843537414966,64.1156462585034
"71","Ghotki",1185,250,935,21.0970464135021,78.9029535864979
"72","Hyderabad",305,64,241,20.983606557377,79.0163934426229
"73","Jacobabad",745,203,542,27.248322147651,72.751677852349
"74","Jamshoro",454,228,226,50.2202643171806,49.7797356828194
"75","Karachi Malir",647,98,549,15.1468315301391,84.8531684698609
"76","Karachi West",103,53,50,51.4563106796116,48.5436893203884
"77","Kashmore",510,132,378,25.8823529411765,74.1176470588235
"78","Khairpur",1273,609,664,47.8397486252946,52.1602513747054
"79","Larkana",840,249,591,29.6428571428571,70.3571428571429
"80","Matiari",522,122,400,23.3716475095785,76.6283524904215
"81","Mir Pur Khas",927,37,890,3.99137001078749,96.0086299892125
"82","Nowshero Feroze",925,212,713,22.9189189189189,77.0810810810811
"83","Sanghar",928,333,595,35.8836206896552,64.1163793103448
"84","Shahdadkot",780,234,546,30,70
"85","Shaheed Banazir Abad",988,387,601,39.17004048583,60.82995951417
"86","Shikarpur",683,334,349,48.9019033674963,51.0980966325037
"87","Sujawal",720,263,457,36.5277777777778,63.4722222222222
"88","Sukkur",529,130,399,24.5746691871456,75.4253308128544
"89","Tando Allah Yar",511,190,321,37.1819960861057,62.8180039138943
"90","Tando Muhammad Khan",688,232,456,33.7209302325581,66.2790697674419
"91","Tharparkar",1014,108,906,10.6508875739645,89.3491124260355
"92","Thatta",797,292,505,36.6373902132999,63.3626097867001
"93","Umer Kot",600,49,551,8.16666666666667,91.8333333333333
"94","Awaran",345,236,109,68.4057971014493,31.5942028985507
"95","Barkhan",499,270,229,54.1082164328657,45.8917835671343
"96","Dera Bugti",476,219,257,46.0084033613445,53.9915966386555
"97","Duki",270,48,222,17.7777777777778,82.2222222222222
"98","Gwadar",228,21,207,9.21052631578947,90.7894736842105
"99","Harnai",370,14,356,3.78378378378378,96.2162162162162
"100","Jaffarabad",508,302,206,59.4488188976378,40.5511811023622
"101","Kachhi/ Bolan",478,111,367,23.2217573221757,76.7782426778243
"102","Kalat",658,141,517,21.4285714285714,78.5714285714286
"103","Kech/Turbat",610,38,572,6.22950819672131,93.7704918032787
"104","Kharan",492,168,324,34.1463414634146,65.8536585365854
"105","Khuzdar",790,390,400,49.3670886075949,50.6329113924051
"106","Kohlu",143,29,114,20.2797202797203,79.7202797202797
"107","Lasbela",149,62,87,41.6107382550336,58.3892617449664
"108","Loralai",426,152,274,35.6807511737089,64.3192488262911
"109","Mastung",463,59,404,12.7429805615551,87.2570194384449
"110","Nasirabad/ Tamboo",507,302,205,59.5660749506903,40.4339250493097
"111","Nushki",349,101,248,28.9398280802292,71.0601719197708
"112","Pishin",906,226,680,24.9448123620309,75.0551876379691
"113","Qilla Abdullah",434,148,286,34.1013824884793,65.8986175115207
"114","Qilla Saifullah",509,225,284,44.2043222003929,55.7956777996071
"115","Quetta",750,229,521,30.5333333333333,69.4666666666667
"116","Shaheed Sikandar Abad",304,66,238,21.7105263157895,78.2894736842105
"117","Sherani",210,19,191,9.04761904761905,90.9523809523809
"118","Sibbi",498,156,342,31.3253012048193,68.6746987951807
"119","Sohbatpur",180,109,71,60.5555555555556,39.4444444444444
"120","Washuk",497,78,419,15.6941649899396,84.3058350100604
"121","Ziarat",357,50,307,14.0056022408964,85.9943977591036
