"","district","total_response","recieved","not_recieved","percent_recieved","percent_not_consulted"
"1","Abbottabad",298,219,79,73.489932885906,26.510067114094
"2","Bajur",640,349,291,54.53125,45.46875
"3","Bannu",285,169,116,59.2982456140351,40.7017543859649
"4","Batagram",274,145,129,52.9197080291971,47.0802919708029
"5","Bunair",461,218,243,47.2885032537961,52.7114967462039
"6","Charsada",564,394,170,69.8581560283688,30.1418439716312
"7","Chitral",202,155,47,76.7326732673267,23.2673267326733
"8","D. I. Khan",152,69,83,45.3947368421053,54.6052631578947
"9","Hangu",290,149,141,51.3793103448276,48.6206896551724
"10","Haripur",291,237,54,81.4432989690722,18.5567010309278
"11","Karak",94,62,32,65.9574468085106,34.0425531914894
"12","Khyber",381,226,155,59.3175853018373,40.6824146981627
"13","Kohat",192,81,111,42.1875,57.8125
"14","Kohistan",706,383,323,54.2492917847025,45.7507082152975
"15","Kurram",360,135,225,37.5,62.5
"16","Lakki Marwat",182,105,77,57.6923076923077,42.3076923076923
"17","Lower Dir",704,567,137,80.5397727272727,19.4602272727273
"18","Malakand",232,172,60,74.1379310344828,25.8620689655172
"19","Mansehra",420,273,147,65,35
"20","Mardan",727,481,246,66.162310866575,33.837689133425
"21","Mohmand",360,130,230,36.1111111111111,63.8888888888889
"22","North Waziristan",198,80,118,40.4040404040404,59.5959595959596
"23","Nowshera",453,295,158,65.121412803532,34.878587196468
"24","Orakzai",211,109,102,51.6587677725119,48.3412322274881
"25","Peshawar",820,464,356,56.5853658536585,43.4146341463415
"26","Shangla",241,145,96,60.1659751037344,39.8340248962656
"27","South Waziristan",119,23,96,19.327731092437,80.672268907563
"28","Swabi",510,279,231,54.7058823529412,45.2941176470588
"29","Swat",339,262,77,77.2861356932153,22.7138643067847
"30","Tank",80,37,43,46.25,53.75
"31","Tor Garh",153,37,116,24.1830065359477,75.8169934640523
"32","Upper Dir",591,450,141,76.1421319796954,23.8578680203046
"33","Attock",366,325,41,88.7978142076503,11.2021857923497
"34","Bahawalnagar",732,521,211,71.1748633879781,28.8251366120219
"35","Bahawalpur",1008,773,235,76.6865079365079,23.3134920634921
"36","Bhakhar",512,451,61,88.0859375,11.9140625
"37","Chakwal",321,269,52,83.8006230529595,16.1993769470405
"38","Chiniot",338,254,84,75.1479289940828,24.8520710059172
"39","D. G. Khan",690,285,405,41.304347826087,58.695652173913
"40","Faisalabad",909,624,285,68.6468646864686,31.3531353135314
"41","Gujranwala",526,440,86,83.6501901140685,16.3498098859316
"42","Gujrat",382,347,35,90.8376963350785,9.16230366492147
"43","Hafizabad",274,232,42,84.6715328467153,15.3284671532847
"44","Islamabad",212,196,16,92.4528301886792,7.54716981132075
"45","Jehlum",307,290,17,94.4625407166124,5.53745928338762
"46","Jhang",628,467,161,74.3630573248408,25.6369426751592
"47","Kasur",628,416,212,66.2420382165605,33.7579617834395
"48","Khanewal",628,489,139,77.8662420382166,22.1337579617834
"49","Khushab",291,240,51,82.4742268041237,17.5257731958763
"50","Layyah",217,164,53,75.5760368663594,24.4239631336406
"51","Lodhran",296,209,87,70.6081081081081,29.3918918918919
"52","Mandi Bahauddin",264,234,30,88.6363636363636,11.3636363636364
"53","Mianwali",391,328,63,83.8874680306905,16.1125319693095
"54","Multan",660,555,105,84.0909090909091,15.9090909090909
"55","Muzaffar Garh",850,524,326,61.6470588235294,38.3529411764706
"56","Nankana Sahib",276,199,77,72.1014492753623,27.8985507246377
"57","Narowal",602,513,89,85.2159468438538,14.7840531561462
"58","Okara",379,316,63,83.377308707124,16.622691292876
"59","Pakpattan",449,346,103,77.0601336302895,22.9398663697105
"60","Rahim Yar Khan",831,331,500,39.8315282791817,60.1684717208183
"61","Rajanpur",568,318,250,55.9859154929578,44.0140845070423
"62","Rawalpindi",601,547,54,91.0149750415973,8.98502495840266
"63","Sahiwal",533,399,134,74.859287054409,25.140712945591
"64","Sargodha",707,594,113,84.016973125884,15.983026874116
"65","Sheikhupura",589,437,152,74.1935483870968,25.8064516129032
"66","Sialkot",564,475,89,84.2198581560284,15.7801418439716
"67","T.T. Singh",452,368,84,81.4159292035398,18.5840707964602
"68","Vehari",497,479,18,96.3782696177062,3.62173038229376
"69","Badin",289,145,144,50.1730103806228,49.8269896193772
"70","Dadu",170,116,54,68.2352941176471,31.7647058823529
"71","Ghotki",379,267,112,70.4485488126649,29.5514511873351
"72","Hyderabad",75,38,37,50.6666666666667,49.3333333333333
"73","Jacobabad",321,232,89,72.2741433021807,27.7258566978193
"74","Jamshoro",117,68,49,58.1196581196581,41.8803418803419
"75","Karachi Malir",69,44,25,63.768115942029,36.231884057971
"76","Karachi West",31,27,4,87.0967741935484,12.9032258064516
"77","Kashmore",245,206,39,84.0816326530612,15.9183673469388
"78","Khairpur",541,276,265,51.0166358595194,48.9833641404806
"79","Larkana",101,51,50,50.4950495049505,49.5049504950495
"80","Matiari",141,60,81,42.5531914893617,57.4468085106383
"81","Mir Pur Khas",338,138,200,40.8284023668639,59.1715976331361
"82","Nowshero Feroze",241,162,79,67.2199170124481,32.7800829875519
"83","Sanghar",350,216,134,61.7142857142857,38.2857142857143
"84","Shahdadkot",110,62,48,56.3636363636364,43.6363636363636
"85","Shaheed Banazir Abad",381,183,198,48.0314960629921,51.9685039370079
"86","Shikarpur",262,122,140,46.5648854961832,53.4351145038168
"87","Sujawal",201,66,135,32.8358208955224,67.1641791044776
"88","Sukkur",175,92,83,52.5714285714286,47.4285714285714
"89","Tando Allah Yar",156,71,85,45.5128205128205,54.4871794871795
"90","Tando Muhammad Khan",222,91,131,40.990990990991,59.009009009009
"91","Tharparkar",301,96,205,31.8936877076412,68.1063122923588
"92","Thatta",192,103,89,53.6458333333333,46.3541666666667
"93","Umer Kot",205,115,90,56.0975609756098,43.9024390243902
"94","Awaran",155,33,122,21.2903225806452,78.7096774193548
"95","Barkhan",142,84,58,59.1549295774648,40.8450704225352
"96","Dera Bugti",119,73,46,61.3445378151261,38.655462184874
"97","Duki",120,5,115,4.16666666666667,95.8333333333333
"98","Gwadar",69,31,38,44.9275362318841,55.0724637681159
"99","Harnai",101,29,72,28.7128712871287,71.2871287128713
"100","Jaffarabad",213,134,79,62.9107981220657,37.0892018779343
"101","Kachhi/ Bolan",161,53,108,32.9192546583851,67.0807453416149
"102","Kalat",206,120,86,58.252427184466,41.747572815534
"103","Kech/Turbat",175,103,72,58.8571428571429,41.1428571428571
"104","Kharan",243,88,155,36.2139917695473,63.7860082304527
"105","Khuzdar",379,35,344,9.23482849604222,90.7651715039578
"106","Kohlu",16,9,7,56.25,43.75
"107","Lasbela",32,8,24,25,75
"108","Loralai",175,87,88,49.7142857142857,50.2857142857143
"109","Mastung",124,81,43,65.3225806451613,34.6774193548387
"110","Nasirabad/ Tamboo",196,154,42,78.5714285714286,21.4285714285714
"111","Nushki",136,45,91,33.0882352941176,66.9117647058823
"112","Pishin",294,58,236,19.7278911564626,80.2721088435374
"113","Qilla Abdullah",163,19,144,11.6564417177914,88.3435582822086
"114","Qilla Saifullah",331,6,325,1.81268882175227,98.1873111782477
"115","Quetta",327,135,192,41.2844036697248,58.7155963302752
"116","Shaheed Sikandar Abad",103,60,43,58.252427184466,41.747572815534
"117","Sherani",109,41,68,37.6146788990826,62.3853211009174
"118","Sibbi",141,42,99,29.7872340425532,70.2127659574468
"119","Sohbatpur",105,86,19,81.9047619047619,18.0952380952381
"120","Washuk",170,82,88,48.2352941176471,51.7647058823529
"121","Ziarat",93,31,62,33.3333333333333,66.6666666666667
